"Games","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Hand_OBP","Hand_SLG","Hand_BABIP","Hand_ISO","Hand_SBPerG","P_OPS","AL","SameTeam","weight","height","age","bats_right","bats_switch"
138,559,66,148,21,1,2,48,5,4,25,57,3,1,8,4,7,0.295,0.317,0.29,0.052,0.036231884057971,0.135,1,1,190,75,23,0,0
34,40,2,5,2,0,0,2,0,0,3,9,0,0,6,0,0,0.186,0.175,0.161,0.05,0,2,1,1,170,75,26,1,0
28,49,9,15,1,0,4,13,0,2,5,9,0,0,2,1,2,0.364,0.571,0.297,0.265,0,0.333,1,1,215,76,29,1,0
145,530,54,120,20,0,11,53,1,2,40,57,1,5,13,2,8,0.286,0.326,0.235,0.1,0.00689655172413793,0.385,0,1,175,71,32,1,0
81,232,34,59,8,4,3,32,1,2,23,21,2,1,2,4,7,0.319,0.362,0.264,0.108,0.0123456790123457,0.397,1,1,185,74,25,0,0
150,519,127,158,21,1,42,97,18,3,129,120,13,2,2,2,11,0.443,0.592,0.323,0.287,0.12,1.003,1,1,195,71,27,0,1
149,546,97,137,18,1,31,77,5,0,85,85,5,2,8,8,9,0.349,0.458,0.242,0.207,0.0335570469798658,0.563,0,1,190,73,27,0,0
138,503,69,126,19,1,14,65,6,2,59,75,1,3,7,6,15,0.329,0.376,0.267,0.125,0.0434782608695652,0.974,1,1,175,72,30,1,0
95,164,17,39,7,1,3,23,0,0,15,17,3,2,2,2,3,0.306,0.348,0.247,0.11,0,0.744,0,1,190,72,37,1,0
73,182,18,45,6,2,0,14,1,3,8,5,0,0,3,2,1,0.276,0.302,0.251,0.055,0.0136986301369863,0,1,1,170,69,23,1,0
28,45,2,9,1,0,0,1,0,0,3,14,0,0,3,1,1,0.245,0.222,0.281,0.022,0,0,0,1,205,76,33,1,0
106,427,47,112,23,1,1,24,3,1,31,21,0,1,5,1,8,0.313,0.328,0.273,0.066,0.0283018867924528,0.81,0,1,170,72,35,0,1
134,460,79,138,19,5,14,55,5,8,66,87,3,1,4,2,7,0.388,0.454,0.343,0.154,0.0373134328358209,0.489,1,1,200,74,25,0,0
126,465,61,127,22,3,14,73,1,1,28,69,1,4,1,5,16,0.317,0.424,0.292,0.151,0.00793650793650794,0.767,1,1,195,71,28,1,0
77,138,21,42,4,1,4,19,2,0,21,16,0,0,1,0,3,0.396,0.435,0.322,0.13,0.025974025974026,0.25,1,1,180,69,42,0,0
41,108,10,36,6,1,2,15,0,0,7,24,0,2,4,1,0,0.381,0.463,0.41,0.13,0,0.667,0,1,172,72,37,0,0
60,150,30,34,5,2,7,19,1,1,19,40,0,1,1,1,2,0.316,0.427,0.26,0.2,0.0166666666666667,0,1,1,190,73,25,0,0
