"Games","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Hand_OBP","Hand_SLG","Hand_BABIP","Hand_ISO","Hand_SBPerG","P_OPS","AL","SameTeam","weight","height","age","bats_right","bats_switch"
110,356,33,90,13,2.19722457733622,8,44,1.94591014905531,2.30258509299405,16,43,2.39789527279837,1.6094379124341,2.39789527279837,2,18,0.283,0.379,0.267,0.126,0.0181818181818182,0.879,1,1,196,74,28,1,0
127,431,56,128,21,2.07944154167984,3,39,2.39789527279837,2.39789527279837,24,48,2.07944154167984,2.07944154167984,2.89037175789616,4,4,0.335,0.381,0.326,0.084,0.047244094488189,0.786,1,1,190,75,22,0,0
129,494,59,135,19,2.484906649788,10,49,2.30258509299405,1.6094379124341,31,49,1.94591014905531,2.19722457733622,2.56494935746154,4,14,0.319,0.401,0.285,0.128,0.0387596899224806,0.624,0,1,175,71,31,1,0
40,103,15,35,6,1.94591014905531,0,11,1.94591014905531,1.94591014905531,9,13,1.6094379124341,1.6094379124341,1.6094379124341,1,1,0.389,0.437,0.385,0.097,0.05,0.619,1,1,185,74,24,0,0
71,182,28,43,9,1.79175946922805,4,21,1.94591014905531,1.6094379124341,14,34,1.94591014905531,1.94591014905531,1.79175946922805,1,3,0.296,0.363,0.269,0.126,0.028169014084507,0.091,0,1,160,72,23,1,0
144,474,121,173,28,2.39789527279837,34,94,3.04452243772342,2.07944154167984,146,75,3.3322045101752,1.6094379124341,1.6094379124341,3,5,0.512,0.665,0.378,0.3,0.111111111111111,0.785,1,1,195,71,26,0,1
148,572,109,167,28,2.63905732961526,32,94,2.07944154167984,1.79175946922805,90,79,2.30258509299405,1.6094379124341,1.94591014905531,2,6,0.387,0.54,0.292,0.248,0.0202702702702703,0.933,0,1,190,73,26,0,0
141,539,87,156,25,2.63905732961526,13,62,1.94591014905531,2.30258509299405,59,71,1.79175946922805,2.19722457733622,3.17805383034795,3,12,0.362,0.442,0.312,0.152,0.0141843971631206,0.571,1,1,175,72,29,1,0
83,220,31,61,6,1.79175946922805,8,27,1.79175946922805,1.6094379124341,10,22,1.94591014905531,1.79175946922805,1.79175946922805,3,6,0.308,0.423,0.275,0.145,0.0120481927710843,0.481,0,1,190,72,36,1,0
93,394,56,122,23,2.19722457733622,6,32,1.94591014905531,2.07944154167984,23,7,1.79175946922805,1.79175946922805,2.484906649788,1,6,0.348,0.434,0.304,0.124,0.021505376344086,0.611,0,0,170,72,34,0,1
